Symbol,Price~,Exp Date,Type,Strike,Moneyness,Bid,Ask,Volume,Open Int,IV,Delta,ITM Prob,OTM Prob,Time
TSLA,275.14,4/17/2025,Call,280,-1.77%,18.65,18.8,9889,5866,67.90%,0.525881,46.00%,54.00%,15:55 ET
TSLA,275.14,4/17/2025,Call,290,-5.40%,14.35,14.5,6907,10263,67.39%,0.444724,38.04%,61.96%,15:55 ET
TSLA,275.14,4/17/2025,Call,300,-9.04%,10.85,11,22645,19220,66.83%,0.367138,30.69%,69.31%,15:55 ET
TSLA,275.14,4/17/2025,Call,305,-10.85%,9.4,9.55,2645,3875,66.69%,0.33096,27.34%,72.66%,15:55 ET
TSLA,275.14,4/17/2025,Call,315,-14.49%,6.95,7.1,1636,3743,66.69%,0.265697,21.44%,78.56%,15:55 ET
TSLA,275.14,4/17/2025,Call,320,-16.30%,6.05,6.15,5669,5095,66.81%,0.236864,18.90%,81.10%,15:55 ET
TSLA,275.14,4/17/2025,Call,325,-18.12%,5.2,5.25,2238,5690,66.93%,0.210361,16.59%,83.41%,15:55 ET
TSLA,275.14,4/17/2025,Call,330,-19.94%,4.45,4.55,4582,14670,67.01%,0.18598,14.50%,85.50%,15:55 ET
TSLA,275.14,4/17/2025,Call,335,-21.76%,3.85,3.95,1168,2794,67.39%,0.165085,12.73%,87.27%,15:55 ET
TSLA,275.14,4/17/2025,Call,340,-23.57%,3.3,3.4,1469,4211,67.36%,0.14454,11.02%,88.98%,15:55 ET
TSLA,275.14,4/17/2025,Call,345,-25.39%,2.85,2.93,1125,2146,67.99%,0.128743,9.72%,90.28%,15:55 ET
TSLA,275.14,4/17/2025,Call,350,-27.21%,2.48,2.54,7166,24727,68.31%,0.113438,8.47%,91.53%,15:55 ET
TSLA,275.14,4/17/2025,Call,355,-29.03%,2.16,2.22,809,15450,68.91%,0.100868,7.46%,92.54%,15:53 ET
TSLA,275.14,4/17/2025,Call,360,-30.84%,1.88,1.94,1314,3989,69.42%,0.08938,6.55%,93.45%,15:54 ET
TSLA,275.14,4/17/2025,Call,365,-32.66%,1.65,1.69,1195,3608,69.85%,0.078965,5.73%,94.27%,15:55 ET
TSLA,275.14,4/17/2025,Call,370,-34.48%,1.44,1.49,1507,4899,70.25%,0.069627,5.00%,95.00%,15:55 ET
TSLA,275.14,4/17/2025,Call,375,-36.29%,1.27,1.31,1155,2921,71.11%,0.062741,4.47%,95.53%,15:55 ET
TSLA,275.14,4/17/2025,Call,380,-38.11%,1.11,1.16,1322,6022,71.67%,0.055827,3.95%,96.05%,15:55 ET
TSLA,275.14,4/17/2025,Call,400,-45.38%,0.69,0.7,3143,19171,73.87%,0.035274,2.41%,97.59%,15:55 ET
TSLA,275.14,4/17/2025,Call,420,-52.65%,0.42,0.46,2108,5213,76.03%,0.022653,1.50%,98.50%,15:53 ET
TSLA,275.14,4/17/2025,Call,425,-54.47%,0.37,0.41,1242,4864,76.46%,0.020191,1.33%,98.67%,15:54 ET
TSLA,275.14,4/17/2025,Call,430,-56.28%,0.33,0.37,921,2765,76.68%,0.01775,1.16%,98.84%,15:51 ET
TSLA,275.14,4/17/2025,Call,440,-59.92%,0.26,0.3,2084,4346,78.32%,0.015042,0.97%,99.03%,15:49 ET
TSLA,275.14,4/17/2025,Call,445,-61.74%,0.23,0.28,793,1760,77.94%,0.012648,0.81%,99.19%,14:56 ET
TSLA,275.14,4/17/2025,Call,450,-63.55%,0.21,0.25,1856,10677,79.08%,0.012001,0.76%,99.24%,15:54 ET
TSLA,275.14,4/17/2025,Call,455,-65.37%,0.18,0.23,828,1180,78.67%,0.010049,0.63%,99.37%,15:30 ET
TSLA,275.14,4/17/2025,Call,460,-67.19%,0.16,0.19,900,3555,80.16%,0.009889,0.62%,99.38%,15:53 ET
TSLA,275.14,4/17/2025,Call,470,-70.82%,0.13,0.17,730,1751,80.71%,0.007821,0.48%,99.52%,12:37 ET
TSLA,275.14,4/17/2025,Call,475,-72.64%,0.12,0.14,537,4308,81.44%,0.007254,0.45%,99.55%,15:49 ET
TSLA,275.14,4/17/2025,Call,500,-81.73%,0.09,0.1,1395,17138,84.77%,0.005003,0.30%,99.70%,15:54 ET
TSLA,275.14,4/17/2025,Call,630,-128.97%,0.01,0.02,2200,987,99.40%,0.001079,0.06%,99.94%,14:31 ET
TSLA,275.14,6/20/2025,Call,350,-27.21%,13.35,13.5,2431,12996,63.18%,0.290459,21.89%,78.11%,15:55 ET
TSLA,275.14,6/20/2025,Call,360,-30.84%,11.6,11.75,978,6551,63.12%,0.259897,19.29%,80.71%,15:49 ET
TSLA,275.14,6/20/2025,Call,380,-38.11%,8.75,8.9,536,9225,63.38%,0.207963,14.97%,85.03%,15:55 ET
TSLA,275.14,6/20/2025,Call,400,-45.38%,6.6,6.75,5276,27249,63.91%,0.166585,11.65%,88.35%,15:55 ET
TSLA,275.14,6/20/2025,Call,420,-52.65%,5.1,5.25,1626,11112,64.42%,0.133119,9.06%,90.94%,15:55 ET
TSLA,275.14,6/20/2025,Call,450,-63.55%,3.5,3.6,2174,14393,65.41%,0.095953,6.28%,93.72%,15:55 ET
TSLA,275.14,6/20/2025,Call,480,-74.46%,2.46,2.53,1103,7963,66.52%,0.070083,4.42%,95.58%,15:52 ET
TSLA,275.14,6/20/2025,Call,490,-78.09%,2.2,2.28,513,1591,66.97%,0.063528,3.96%,96.04%,15:51 ET
TSLA,275.14,6/20/2025,Call,500,-81.73%,1.97,2.02,3134,24496,67.38%,0.057561,3.55%,96.45%,15:55 ET
TSLA,275.14,6/20/2025,Call,600,-118.07%,0.77,0.81,553,11358,71.73%,0.024037,1.34%,98.66%,15:47 ET
TSLA,275.14,6/20/2025,Call,700,-154.42%,0.33,0.39,769,5977,75.67%,0.011614,0.60%,99.40%,15:54 ET
TSLA,275.14,6/20/2025,Call,960,-248.91%,0.05,0.09,939,36230,83.44%,0.002618,0.11%,99.89%,15:10 ET
TSLA,275.14,3/28/2025,Call,275,0.05%,10.35,10.5,106095,17303,75.13%,0.575066,50.26%,49.74%,15:55 ET
TSLA,275.14,3/28/2025,Call,277.5,-0.86%,9.1,9.2,26562,3132,76.01%,0.529595,45.73%,54.27%,15:55 ET
TSLA,275.14,3/28/2025,Call,272.5,0.96%,11.9,12.05,56815,15009,76.78%,0.618127,54.77%,45.23%,15:55 ET
TSLA,275.14,3/28/2025,Call,280,-1.77%,7.8,7.9,96372,11183,74.78%,0.483885,41.15%,58.85%,15:55 ET
TSLA,275.14,3/28/2025,Call,270,1.87%,13.45,13.55,96150,19206,77.04%,0.660609,59.24%,40.76%,15:55 ET
TSLA,275.14,3/28/2025,Call,282.5,-2.68%,6.75,6.9,23768,1466,74.40%,0.43834,36.73%,63.27%,15:55 ET
TSLA,275.14,3/28/2025,Call,267.5,2.78%,15.25,15.4,20334,3017,78.23%,0.699392,63.45%,36.55%,15:55 ET
TSLA,275.14,3/28/2025,Call,285,-3.58%,5.75,5.8,41762,4290,74.17%,0.393818,32.51%,67.49%,15:55 ET
TSLA,275.14,3/28/2025,Call,265,3.69%,17.05,17.2,44992,6566,78.49%,0.737455,67.62%,32.38%,15:55 ET
TSLA,275.14,3/28/2025,Call,287.5,-4.49%,4.9,5,11406,767,75.08%,0.35334,28.80%,71.20%,15:55 ET
TSLA,275.14,3/28/2025,Call,262.5,4.59%,19,19.15,19492,5388,79.94%,0.769978,71.29%,28.71%,15:55 ET
TSLA,275.14,3/28/2025,Call,290,-5.40%,4.1,4.2,54578,12690,74.23%,0.311019,24.92%,75.08%,15:55 ET
TSLA,275.14,3/28/2025,Call,260,5.50%,20.95,21.1,41938,19117,82.35%,0.79691,74.43%,25.57%,15:55 ET
TSLA,275.14,3/28/2025,Call,292.5,-6.31%,3.45,3.55,14091,564,74.06%,0.272605,21.50%,78.50%,15:55 ET
TSLA,275.14,3/28/2025,Call,295,-7.22%,2.93,2.95,32302,2464,74.46%,0.238706,18.56%,81.44%,15:55 ET
TSLA,275.14,3/28/2025,Call,255,7.32%,25.1,25.25,12599,4979,84.33%,0.849228,80.54%,19.46%,15:55 ET
TSLA,275.14,3/28/2025,Call,297.5,-8.13%,2.44,2.48,11525,2183,74.94%,0.208086,15.96%,84.04%,15:55 ET
TSLA,275.14,3/28/2025,Call,300,-9.04%,2.03,2.05,110671,17678,75.08%,0.179349,13.55%,86.45%,15:55 ET
TSLA,275.14,3/28/2025,Call,305,-10.85%,1.41,1.43,26935,2779,75.70%,0.131719,9.68%,90.32%,15:55 ET
TSLA,275.14,3/28/2025,Call,307.5,-11.76%,1.2,1.21,5817,534,76.68%,0.114169,8.30%,91.70%,15:55 ET
TSLA,275.14,3/28/2025,Call,310,-12.67%,1,1.01,24755,6120,77.42%,0.098152,7.05%,92.95%,15:55 ET
TSLA,275.14,3/28/2025,Call,315,-14.49%,0.71,0.73,14159,2087,78.80%,0.071864,5.05%,94.95%,15:55 ET
TSLA,275.14,3/28/2025,Call,320,-16.30%,0.51,0.52,13715,5523,80.55%,0.053139,3.66%,96.34%,15:55 ET
TSLA,275.14,3/28/2025,Call,325,-18.12%,0.36,0.37,14196,7022,82.19%,0.039076,2.65%,97.35%,15:54 ET
TSLA,275.14,3/28/2025,Call,330,-19.94%,0.26,0.28,9154,5651,84.72%,0.030175,2.02%,97.98%,15:55 ET
TSLA,275.14,3/28/2025,Call,335,-21.76%,0.19,0.2,4753,3224,86.14%,0.022084,1.45%,98.55%,15:55 ET
TSLA,275.14,3/28/2025,Call,340,-23.57%,0.14,0.16,6365,1947,88.11%,0.016752,1.09%,98.91%,15:54 ET
TSLA,275.14,3/28/2025,Call,345,-25.39%,0.11,0.12,2669,1342,89.70%,0.012481,0.80%,99.20%,15:54 ET
TSLA,275.14,3/28/2025,Call,350,-27.21%,0.08,0.09,9440,8342,92.45%,0.010139,0.64%,99.36%,15:54 ET
TSLA,275.14,3/28/2025,Call,355,-29.03%,0.06,0.08,1309,4774,92.81%,0.006991,0.44%,99.56%,15:55 ET
TSLA,275.14,3/28/2025,Call,360,-30.84%,0.05,0.07,3154,4562,97.44%,0.006696,0.42%,99.58%,15:54 ET
TSLA,275.14,3/28/2025,Call,365,-32.66%,0.03,0.05,1849,3235,99.96%,0.005542,0.35%,99.65%,15:50 ET
TSLA,275.14,3/28/2025,Call,370,-34.48%,0.03,0.04,1942,2964,101.91%,0.004439,0.27%,99.73%,15:54 ET
TSLA,275.14,3/28/2025,Call,375,-36.29%,0.02,0.03,912,1167,103.11%,0.003372,0.21%,99.79%,15:51 ET
TSLA,275.14,3/28/2025,Call,380,-38.11%,0.01,0.03,1180,2142,107.16%,0.003257,0.20%,99.80%,15:54 ET
TSLA,275.14,3/28/2025,Call,400,-45.38%,0.01,0.02,572,5681,118.19%,0.002051,0.12%,99.88%,15:43 ET
TSLA,275.14,3/28/2025,Call,405,-47.20%,0,0.02,1319,966,114.83%,0.001104,0.06%,99.94%,15:20 ET
TSLA,275.14,12/19/2025,Call,960,-248.91%,2.47,2.6,701,26008,70.41%,0.04546,1.95%,98.05%,15:53 ET
TSLA,275.14,4/11/2025,Call,270,1.87%,22,22.05,3379,1794,71.41%,0.61021,54.73%,45.27%,15:55 ET
TSLA,275.14,4/11/2025,Call,290,-5.40%,12.35,12.5,3424,898,69.61%,0.428843,36.68%,63.32%,15:54 ET
TSLA,275.14,4/11/2025,Call,295,-7.22%,10.55,10.7,1081,871,69.35%,0.385305,32.54%,67.46%,15:55 ET
TSLA,275.14,4/11/2025,Call,305,-10.85%,7.6,7.75,702,602,69.09%,0.304831,25.09%,74.91%,15:55 ET
TSLA,275.14,4/11/2025,Call,310,-12.67%,6.45,6.6,1460,902,69.12%,0.268879,21.85%,78.15%,15:55 ET
TSLA,275.14,4/11/2025,Call,315,-14.49%,5.4,5.55,955,929,69.13%,0.235645,18.91%,81.09%,15:54 ET
TSLA,275.14,4/11/2025,Call,320,-16.30%,4.55,4.7,1310,1215,69.07%,0.205047,16.24%,83.76%,15:55 ET
TSLA,275.14,4/11/2025,Call,325,-18.12%,3.85,3.95,710,928,69.56%,0.179517,14.05%,85.95%,15:53 ET
TSLA,275.14,4/11/2025,Call,330,-19.94%,3.2,3.35,1791,1184,69.25%,0.153563,11.86%,88.14%,15:55 ET
TSLA,275.14,4/11/2025,Call,335,-21.76%,2.73,2.81,622,847,70.17%,0.135133,10.32%,89.68%,15:54 ET
TSLA,275.14,4/11/2025,Call,340,-23.57%,2.31,2.38,627,999,70.61%,0.117208,8.85%,91.15%,15:55 ET
TSLA,275.14,4/11/2025,Call,350,-27.21%,1.66,1.7,1147,1688,71.51%,0.087768,6.48%,93.52%,15:55 ET
TSLA,275.14,4/11/2025,Call,400,-45.38%,0.37,0.42,1130,1095,77.76%,0.022463,1.51%,98.49%,15:52 ET
TSLA,275.14,4/25/2025,Call,400,-45.38%,1.56,1.62,1450,1410,74.66%,0.064762,4.53%,95.47%,15:55 ET
TSLA,275.14,4/4/2025,Call,275,0.05%,16.4,16.55,11770,2022,76.54%,0.564129,50.15%,49.85%,15:55 ET
TSLA,275.14,4/4/2025,Call,280,-1.77%,13.85,14,13004,2657,76.38%,0.510207,44.75%,55.25%,15:55 ET
TSLA,275.14,4/4/2025,Call,285,-3.58%,11.65,11.8,4862,1062,75.74%,0.456222,39.44%,60.56%,15:55 ET
TSLA,275.14,4/4/2025,Call,290,-5.40%,9.7,9.85,6548,1767,75.43%,0.403712,34.40%,65.60%,15:55 ET
TSLA,275.14,4/4/2025,Call,295,-7.22%,8,8.15,5914,2528,75.17%,0.353433,29.66%,70.34%,15:55 ET
TSLA,275.14,4/4/2025,Call,255,7.32%,29.4,29.55,2148,1692,80.49%,0.758238,70.68%,29.32%,15:55 ET
TSLA,275.14,4/4/2025,Call,300,-9.04%,6.55,6.65,18974,9169,74.93%,0.306096,25.30%,74.70%,15:55 ET
TSLA,275.14,4/4/2025,Call,305,-10.85%,5.35,5.45,2781,2377,74.91%,0.262983,21.41%,78.59%,15:55 ET
TSLA,275.14,4/4/2025,Call,310,-12.67%,4.4,4.5,3741,1131,74.98%,0.224111,17.97%,82.03%,15:55 ET
TSLA,275.14,4/4/2025,Call,315,-14.49%,3.55,3.65,1959,726,75.02%,0.189208,14.94%,85.06%,15:55 ET
TSLA,275.14,4/4/2025,Call,320,-16.30%,2.92,2.96,5154,1847,75.87%,0.161311,12.57%,87.43%,15:55 ET
TSLA,275.14,4/4/2025,Call,325,-18.12%,2.38,2.41,3638,792,76.35%,0.135874,10.44%,89.56%,15:55 ET
TSLA,275.14,4/4/2025,Call,330,-19.94%,1.93,1.97,3191,2494,76.87%,0.11408,8.65%,91.35%,15:55 ET
TSLA,275.14,4/4/2025,Call,335,-21.76%,1.57,1.6,1507,2172,77.39%,0.095439,7.14%,92.86%,15:54 ET
TSLA,275.14,4/4/2025,Call,340,-23.57%,1.29,1.32,3026,2024,78.17%,0.08035,5.94%,94.06%,15:55 ET
TSLA,275.14,4/4/2025,Call,350,-27.21%,0.86,0.88,3843,2265,79.42%,0.056064,4.04%,95.96%,15:53 ET
TSLA,275.14,4/4/2025,Call,355,-29.03%,0.7,0.75,805,669,79.82%,0.046245,3.29%,96.71%,15:55 ET
TSLA,275.14,4/4/2025,Call,360,-30.84%,0.59,0.6,830,1224,81.01%,0.039639,2.80%,97.20%,15:55 ET
TSLA,275.14,4/4/2025,Call,375,-36.29%,0.33,0.35,1655,1111,83.70%,0.024151,1.65%,98.35%,15:54 ET
TSLA,275.14,4/4/2025,Call,380,-38.11%,0.27,0.31,501,631,83.52%,0.019199,1.30%,98.70%,15:53 ET
TSLA,275.14,4/4/2025,Call,385,-39.93%,0.23,0.26,1023,737,85.99%,0.018106,1.22%,98.78%,15:54 ET
TSLA,275.14,4/4/2025,Call,395,-43.56%,0.16,0.2,868,756,85.97%,0.0117,0.77%,99.23%,15:48 ET
TSLA,275.14,4/4/2025,Call,400,-45.38%,0.13,0.14,1619,2689,87.15%,0.010246,0.67%,99.33%,15:55 ET
TSLA,275.14,4/4/2025,Call,405,-47.20%,0.11,0.14,721,685,88.06%,0.008828,0.57%,99.43%,15:55 ET
TSLA,275.14,7/18/2025,Call,450,-63.55%,5.65,5.75,1929,6199,63.81%,0.131459,8.57%,91.43%,15:54 ET
TSLA,275.14,7/18/2025,Call,500,-81.73%,3.4,3.5,773,6196,65.00%,0.083832,5.15%,94.85%,15:54 ET
TSLA,275.14,7/18/2025,Call,550,-99.90%,2.19,2.28,579,1049,66.99%,0.05705,3.33%,96.67%,15:36 ET
TSLA,275.14,7/18/2025,Call,600,-118.07%,1.47,1.55,1235,6638,68.74%,0.039661,2.21%,97.79%,14:47 ET
TSLA,275.14,7/18/2025,Call,960,-248.91%,0.17,0.22,652,17833,78.94%,0.005711,0.25%,99.75%,15:34 ET
TSLA,275.14,8/15/2025,Call,400,-45.38%,13.85,14,1591,5597,63.60%,0.252319,17.45%,82.55%,15:51 ET
TSLA,275.14,8/15/2025,Call,700,-154.42%,1.44,1.5,1220,5182,70.89%,0.03502,1.80%,98.20%,15:51 ET
TSLA,275.14,8/15/2025,Call,950,-245.28%,0.44,0.51,952,1181,76.97%,0.011809,0.52%,99.48%,10:37 ET
TSLA,275.14,9/19/2025,Put,25,-90.91%,0.15,0.27,520,1585,144.08%,-0.001798,0.87%,99.13%,14:25 ET
TSLA,275.14,5/16/2025,Put,225,-18.22%,8.2,8.35,1177,4332,72.00%,-0.176156,23.17%,76.83%,15:54 ET
TSLA,275.14,5/16/2025,Put,220,-20.04%,7.2,7.35,5621,4116,72.82%,-0.157715,21.01%,78.99%,15:52 ET
TSLA,275.14,5/16/2025,Put,215,-21.86%,6.3,6.45,524,2355,73.68%,-0.140628,18.98%,81.02%,15:54 ET
TSLA,275.14,5/16/2025,Put,210,-23.68%,5.55,5.7,965,5070,75.16%,-0.126306,17.28%,82.72%,15:55 ET
TSLA,275.14,5/16/2025,Put,205,-25.49%,4.85,5,545,3005,76.24%,-0.112188,15.56%,84.44%,15:55 ET
TSLA,275.14,5/16/2025,Put,200,-27.31%,4.3,4.4,10063,17817,77.33%,-0.099238,13.95%,86.05%,15:55 ET
TSLA,275.14,5/16/2025,Put,195,-29.13%,3.8,3.9,1271,2820,78.99%,-0.088626,12.64%,87.36%,15:48 ET
TSLA,275.14,5/16/2025,Put,185,-32.76%,2.96,3.05,2503,4170,81.76%,-0.069026,10.13%,89.87%,15:55 ET
TSLA,275.14,5/16/2025,Put,180,-34.58%,2.63,2.7,1324,3996,83.65%,-0.061449,9.16%,90.84%,15:55 ET
TSLA,275.14,5/16/2025,Put,175,-36.40%,2.35,2.4,786,3287,85.43%,-0.054385,8.23%,91.77%,15:48 ET
TSLA,275.14,5/16/2025,Put,170,-38.21%,2.1,2.17,855,6387,87.58%,-0.048513,7.45%,92.55%,15:53 ET
TSLA,275.14,5/16/2025,Put,160,-41.85%,1.72,1.77,754,4713,92.45%,-0.039023,6.19%,93.81%,15:40 ET
TSLA,275.14,5/16/2025,Put,150,-45.48%,1.43,1.46,1822,5769,97.60%,-0.03131,5.14%,94.86%,15:55 ET
TSLA,275.14,5/16/2025,Put,130,-52.75%,0.97,1.02,804,5030,109.26%,-0.020234,3.59%,96.41%,15:52 ET
TSLA,275.14,5/16/2025,Put,100,-63.65%,0.55,0.57,1593,7029,130.53%,-0.010252,2.09%,97.91%,15:49 ET
TSLA,275.14,4/17/2025,Put,265,-3.69%,12.55,12.7,2556,2785,67.57%,-0.352215,41.42%,58.58%,15:54 ET
TSLA,275.14,4/17/2025,Put,260,-5.50%,10.75,10.8,5100,7131,68.19%,-0.313221,37.31%,62.69%,15:55 ET
TSLA,275.14,4/17/2025,Put,255,-7.32%,9.1,9.25,1704,1687,68.84%,-0.276243,33.34%,66.66%,15:54 ET
TSLA,275.14,4/17/2025,Put,250,-9.14%,7.7,7.85,8617,16541,69.56%,-0.241678,29.56%,70.44%,15:55 ET
TSLA,275.14,4/17/2025,Put,245,-10.95%,6.45,6.6,2674,4316,70.55%,-0.210296,26.07%,73.93%,15:55 ET
TSLA,275.14,4/17/2025,Put,240,-12.77%,5.4,5.55,4667,8014,71.55%,-0.181614,22.82%,77.18%,15:55 ET
TSLA,275.14,4/17/2025,Put,235,-14.59%,4.5,4.65,1997,3880,72.45%,-0.155352,19.80%,80.20%,15:55 ET
TSLA,275.14,4/17/2025,Put,230,-16.41%,3.8,3.9,6592,6527,73.88%,-0.133214,17.21%,82.79%,15:55 ET
TSLA,275.14,4/17/2025,Put,225,-18.22%,3.2,3.3,1718,6281,75.47%,-0.114002,14.93%,85.07%,15:55 ET
TSLA,275.14,4/17/2025,Put,220,-20.04%,2.7,2.75,4347,10320,77.01%,-0.096935,12.87%,87.13%,15:55 ET
TSLA,275.14,4/17/2025,Put,215,-21.86%,2.29,2.34,1953,3343,78.93%,-0.08285,11.15%,88.85%,15:52 ET
TSLA,275.14,4/17/2025,Put,210,-23.68%,1.95,2.01,2326,7851,81.25%,-0.071416,9.74%,90.26%,15:55 ET
TSLA,275.14,4/17/2025,Put,205,-25.49%,1.68,1.73,1430,3390,83.64%,-0.061551,8.50%,91.50%,15:55 ET
TSLA,275.14,4/17/2025,Put,200,-27.31%,1.46,1.5,7955,24343,86.12%,-0.053086,7.43%,92.57%,15:55 ET
TSLA,275.14,4/17/2025,Put,195,-29.13%,1.3,1.33,1124,5563,88.92%,-0.046201,6.55%,93.45%,15:55 ET
TSLA,275.14,4/17/2025,Put,190,-30.94%,1.13,1.18,1760,5516,91.57%,-0.039928,5.74%,94.26%,15:55 ET
TSLA,275.14,4/17/2025,Put,185,-32.76%,1,1.05,809,8224,94.69%,-0.035028,5.10%,94.90%,15:50 ET
TSLA,275.14,4/17/2025,Put,180,-34.58%,0.91,0.94,10303,18301,97.98%,-0.030876,4.56%,95.44%,15:55 ET
TSLA,275.14,4/17/2025,Put,175,-36.40%,0.8,0.84,794,2658,101.41%,-0.027314,4.09%,95.91%,15:53 ET
TSLA,275.14,4/17/2025,Put,160,-41.85%,0.58,0.62,559,8265,111.79%,-0.018701,2.93%,97.07%,15:55 ET
TSLA,275.14,4/17/2025,Put,150,-45.48%,0.49,0.51,1668,8978,119.73%,-0.014882,2.41%,97.59%,15:54 ET
TSLA,275.14,4/17/2025,Put,100,-63.65%,0.15,0.16,1553,7018,161.96%,-0.003717,0.74%,99.26%,15:44 ET
TSLA,275.14,4/17/2025,Put,70,-74.56%,0.05,0.06,1359,5094,195.52%,-0.001319,0.32%,99.68%,12:53 ET
TSLA,275.14,4/17/2025,Put,50,-81.83%,0.02,0.04,14986,31172,227.01%,-0.000592,0.17%,99.83%,15:55 ET
TSLA,275.14,6/20/2025,Put,210,-23.68%,8.6,8.75,631,3910,68.95%,-0.152346,21.24%,78.76%,15:55 ET
TSLA,275.14,6/20/2025,Put,200,-27.31%,6.85,7,2955,24982,70.46%,-0.124416,17.83%,82.17%,15:55 ET
TSLA,275.14,6/20/2025,Put,150,-45.48%,2.36,2.43,1685,16578,84.98%,-0.043491,7.30%,92.70%,15:54 ET
TSLA,275.14,6/20/2025,Put,130,-52.75%,1.66,1.72,548,7250,93.68%,-0.028419,5.15%,94.85%,15:44 ET
TSLA,275.14,6/20/2025,Put,120,-56.39%,1.39,1.42,586,11751,98.85%,-0.023051,4.37%,95.63%,15:44 ET
TSLA,275.14,6/20/2025,Put,100,-63.65%,0.97,1,2761,23425,111.27%,-0.015266,3.20%,96.80%,15:53 ET
TSLA,275.14,6/20/2025,Put,25,-90.91%,0.02,0.07,2000,10951,181.77%,-0.000799,0.36%,99.64%,15:52 ET
TSLA,275.14,6/20/2025,Put,20,-92.73%,0.03,0.04,710,13930,188.58%,-0.000457,0.23%,99.77%,14:07 ET
TSLA,275.14,6/20/2025,Put,15,-94.55%,0,0.03,1200,18236,197.44%,-0.000227,0.13%,99.87%,11:41 ET
TSLA,275.14,1/16/2026,Put,100,-63.65%,3.5,3.6,893,13916,79.37%,-0.03373,7.91%,92.09%,15:52 ET
TSLA,275.14,1/16/2026,Put,20,-92.73%,0.22,0.32,4514,7875,126.12%,-0.00182,1.07%,98.93%,15:30 ET
TSLA,275.14,1/16/2026,Put,5,-98.18%,0.02,0.04,766,28047,158.88%,-0.000201,0.26%,99.74%,15:53 ET
TSLA,275.14,3/28/2025,Put,275,-0.05%,6.9,7.05,42363,1771,72.97%,-0.424048,49.73%,50.27%,15:55 ET
TSLA,275.14,3/28/2025,Put,280,1.77%,9.3,9.4,13288,1574,72.06%,-0.518429,59.18%,40.82%,15:55 ET
TSLA,275.14,3/28/2025,Put,270,-1.87%,5,5.1,71812,1561,74.63%,-0.335751,40.46%,59.54%,15:55 ET
TSLA,275.14,3/28/2025,Put,285,3.58%,12.15,12.3,2194,769,71.65%,-0.611512,68.06%,31.94%,15:55 ET
TSLA,275.14,3/28/2025,Put,265,-3.69%,3.55,3.6,48794,1085,75.86%,-0.25656,31.82%,68.18%,15:55 ET
TSLA,275.14,3/28/2025,Put,262.5,-4.59%,2.92,2.96,22937,509,76.41%,-0.221123,27.83%,72.17%,15:55 ET
TSLA,275.14,3/28/2025,Put,260,-5.50%,2.47,2.48,84600,2483,77.78%,-0.191101,24.35%,75.65%,15:55 ET
TSLA,275.14,3/28/2025,Put,257.5,-6.41%,2.02,2.06,16747,782,78.81%,-0.163367,21.09%,78.91%,15:55 ET
TSLA,275.14,3/28/2025,Put,255,-7.32%,1.69,1.71,40656,1839,79.64%,-0.138216,18.09%,81.91%,15:55 ET
TSLA,275.14,3/28/2025,Put,252.5,-8.23%,1.4,1.41,18024,757,80.95%,-0.117341,15.55%,84.45%,15:55 ET
TSLA,275.14,3/28/2025,Put,250,-9.14%,1.19,1.2,83194,6033,82.96%,-0.100939,13.50%,86.50%,15:55 ET
TSLA,275.14,3/28/2025,Put,247.5,-10.05%,1.01,1.02,11580,3410,84.65%,-0.085971,11.61%,88.39%,15:55 ET
TSLA,275.14,3/28/2025,Put,245,-10.95%,0.83,0.84,28285,6382,85.99%,-0.072291,9.87%,90.13%,15:55 ET
TSLA,275.14,3/28/2025,Put,242.5,-11.86%,0.72,0.73,10949,3221,88.22%,-0.062348,8.58%,91.42%,15:55 ET
TSLA,275.14,3/28/2025,Put,240,-12.77%,0.61,0.63,67989,9841,90.41%,-0.053707,7.44%,92.56%,15:55 ET
TSLA,275.14,3/28/2025,Put,237.5,-13.68%,0.53,0.55,8833,3890,92.45%,-0.046018,6.42%,93.58%,15:55 ET
TSLA,275.14,3/28/2025,Put,235,-14.59%,0.47,0.48,17993,9475,95.15%,-0.040422,5.67%,94.33%,15:55 ET
TSLA,275.14,3/28/2025,Put,232.5,-15.50%,0.41,0.43,8079,5075,97.97%,-0.035711,5.03%,94.97%,15:55 ET
TSLA,275.14,3/28/2025,Put,230,-16.41%,0.37,0.38,23487,14661,100.98%,-0.031843,4.50%,95.50%,15:55 ET
TSLA,275.14,3/28/2025,Put,227.5,-17.31%,0.33,0.35,3000,4628,103.76%,-0.028185,4.00%,96.00%,15:53 ET
TSLA,275.14,3/28/2025,Put,225,-18.22%,0.3,0.31,9122,8429,106.86%,-0.025301,3.61%,96.39%,15:55 ET
TSLA,275.14,3/28/2025,Put,222.5,-19.13%,0.27,0.29,4509,3049,109.76%,-0.022569,3.23%,96.77%,15:53 ET
TSLA,275.14,3/28/2025,Put,220,-20.04%,0.25,0.26,12745,14153,113.14%,-0.020556,2.95%,97.05%,15:55 ET
TSLA,275.14,3/28/2025,Put,217.5,-20.95%,0.22,0.24,1789,2009,115.63%,-0.018072,2.61%,97.39%,15:54 ET
TSLA,275.14,3/28/2025,Put,215,-21.86%,0.2,0.22,5946,5993,119.51%,-0.016849,2.43%,97.57%,15:54 ET
